Date,High,Low,Open,Close,Volume
2020-08-26 04:00:00,511.66,511.66,511.66,511.66,0.0
2020-08-26 04:06:00,511.5,511.5,511.5,511.5,0.0
2020-08-26 04:07:00,511.5,511.5,511.5,511.5,0.0
2020-08-26 04:23:00,512.03,511.5,512.03,511.5,0.0
2020-08-26 04:24:00,511.0,511.0,511.0,511.0,0.0
2020-08-26 04:30:00,510.0,510.0,510.0,510.0,0.0
2020-08-26 04:32:00,510.5,510.5,510.5,510.5,0.0
2020-08-26 04:33:00,510.5,510.5,510.5,510.5,0.0
2020-08-26 04:34:00,510.5,510.5,510.5,510.5,0.0
2020-08-26 04:37:00,510.5,510.5,510.5,510.5,0.0
2020-08-26 05:33:00,512.8,512.8,512.8,512.8,0.0
2020-08-26 05:37:00,512.0,512.0,512.0,512.0,0.0
2020-08-26 05:44:00,512.0,512.0,512.0,512.0,0.0
2020-08-26 06:03:00,511.22,511.1,511.22,511.1,0.0
2020-08-26 06:42:00,512.0,512.0,512.0,512.0,0.0
2020-08-26 06:58:00,512.0,512.0,512.0,512.0,0.0
2020-08-26 07:00:00,512.0,511.67,511.67,512.0,0.0
2020-08-26 07:01:00,512.01,511.5,512.01,511.5,0.0
2020-08-26 07:02:00,511.6,511.25,511.6,511.25,0.0
2020-08-26 07:03:00,511.47,511.47,511.47,511.47,0.0
2020-08-26 07:04:00,511.47,511.47,511.47,511.47,0.0
2020-08-26 07:05:00,511.6,511.31,511.5,511.31,0.0
2020-08-26 07:16:00,511.48,511.48,511.48,511.48,0.0
2020-08-26 07:17:00,511.43,511.43,511.43,511.43,0.0
2020-08-26 07:24:00,511.68,511.68,511.68,511.68,0.0
2020-08-26 07:25:00,511.7,511.55,511.55,511.7,0.0
2020-08-26 07:26:00,511.8,511.8,511.8,511.8,0.0
2020-08-26 07:28:00,511.9,511.9,511.9,511.9,0.0
2020-08-26 07:29:00,511.9,511.75,511.8,511.9,0.0
2020-08-26 07:30:00,511.7,511.7,511.7,511.7,0.0
2020-08-26 07:31:00,511.81,511.81,511.81,511.81,0.0
2020-08-26 07:32:00,511.7,511.67,511.67,511.7,0.0
2020-08-26 07:34:00,512.0,512.0,512.0,512.0,0.0
2020-08-26 07:35:00,512.0,512.0,512.0,512.0,0.0
2020-08-26 07:42:00,512.79,512.52,512.52,512.79,0.0
2020-08-26 07:44:00,512.93,512.93,512.93,512.93,0.0
2020-08-26 07:45:00,512.95,512.93,512.93,512.95,0.0
2020-08-26 07:47:00,512.75,512.75,512.75,512.75,0.0
2020-08-26 07:48:00,512.73,512.62,512.73,512.62,0.0
2020-08-26 07:49:00,512.43,512.43,512.43,512.43,0.0
2020-08-26 07:50:00,512.37,512.25,512.37,512.25,0.0
2020-08-26 07:57:00,512.45,512.45,512.45,512.45,0.0
2020-08-26 07:58:00,512.5,512.4,512.5,512.4,0.0
2020-08-26 08:00:00,513.0,511.25,511.6,511.27,0.0
2020-08-26 08:01:00,512.25,512.25,512.25,512.25,0.0
2020-08-26 08:04:00,512.33,512.33,512.33,512.33,0.0
2020-08-26 08:05:00,511.94,511.94,511.94,511.94,0.0
2020-08-26 08:07:00,512.29,512.29,512.29,512.29,0.0
2020-08-26 08:08:00,512.21,512.21,512.21,512.21,0.0
2020-08-26 08:09:00,512.23,512.23,512.23,512.23,0.0
2020-08-26 08:11:00,512.35,512.35,512.35,512.35,0.0
2020-08-26 08:12:00,512.49,512.3,512.3,512.49,0.0
2020-08-26 08:14:00,512.0,512.0,512.0,512.0,0.0
2020-08-26 08:15:00,512.45,512.45,512.45,512.45,0.0
2020-08-26 08:16:00,511.9,511.9,511.9,511.9,0.0
2020-08-26 08:20:00,511.77,511.5,511.52,511.5,0.0
2020-08-26 08:23:00,511.3,511.1,511.3,511.1,0.0
2020-08-26 08:24:00,511.1,511.0,511.0,511.1,0.0
2020-08-26 08:25:00,511.0,511.0,511.0,511.0,0.0
2020-08-26 08:27:00,510.9,510.9,510.9,510.9,0.0
2020-08-26 08:28:00,511.1,510.9,511.0,511.1,0.0
2020-08-26 08:29:00,511.5,511.5,511.5,511.5,0.0
2020-08-26 08:30:00,511.28,510.91,511.28,510.91,0.0
2020-08-26 08:32:00,511.3,511.3,511.3,511.3,0.0
2020-08-26 08:35:00,511.5,511.5,511.5,511.5,0.0
2020-08-26 08:36:00,511.5,511.48,511.5,511.48,0.0
2020-08-26 08:37:00,511.5,511.5,511.5,511.5,0.0
2020-08-26 08:38:00,511.69,511.69,511.69,511.69,0.0
2020-08-26 08:39:00,511.5,511.5,511.5,511.5,0.0
2020-08-26 08:40:00,511.99,511.99,511.99,511.99,0.0
2020-08-26 08:44:00,511.6,511.6,511.6,511.6,0.0
2020-08-26 08:45:00,511.6,511.6,511.6,511.6,0.0
2020-08-26 08:46:00,511.75,511.75,511.75,511.75,0.0
2020-08-26 08:51:00,511.89,511.89,511.89,511.89,0.0
2020-08-26 08:52:00,511.71,511.71,511.71,511.71,0.0
2020-08-26 08:54:00,511.8,511.8,511.8,511.8,0.0
2020-08-26 08:56:00,511.8,511.6,511.6,511.8,0.0
2020-08-26 08:57:00,511.8,511.6,511.6,511.8,0.0
2020-08-26 08:58:00,511.8,511.6,511.8,511.6,0.0
2020-08-26 08:59:00,511.8,511.8,511.8,511.8,0.0
2020-08-26 09:00:00,511.8,511.6,511.61,511.8,0.0
2020-08-26 09:02:00,511.8,511.8,511.8,511.8,0.0
2020-08-26 09:04:00,511.81,511.81,511.81,511.81,0.0
2020-08-26 09:05:00,511.81,511.8,511.81,511.8,0.0
2020-08-26 09:06:00,511.97,511.97,511.97,511.97,0.0
2020-08-26 09:07:00,512.0,512.0,512.0,512.0,0.0
2020-08-26 09:09:00,512.0,512.0,512.0,512.0,0.0
