Date,High,Low,Open,Close,Volume
2020-08-26 05:47:00,490.6,490.6,490.6,490.6,0
2020-08-26 06:13:00,491.0,491.0,491.0,491.0,0
2020-08-26 07:04:00,491.3,491.3,491.3,491.3,0
2020-08-26 07:24:00,491.57,491.57,491.57,491.57,0
2020-08-26 07:40:00,491.5,491.15,491.5,491.15,0
2020-08-26 07:41:00,491.4,491.0,491.4,491.0,0
2020-08-26 07:45:00,491.12,491.1,491.12,491.12,0
2020-08-26 07:57:00,491.2,491.2,491.2,491.2,0
2020-08-26 08:00:00,491.89,491.0,491.89,491.21,0
2020-08-26 08:01:00,491.79,491.69,491.69,491.79,0
2020-08-26 08:16:00,491.09,490.7,491.09,490.7,0
2020-08-26 08:17:00,490.73,490.7,490.7,490.7,0
2020-08-26 08:21:00,490.7,490.7,490.7,490.7,0
2020-08-26 08:41:00,491.0,491.0,491.0,491.0,0
2020-08-26 09:00:00,490.8,490.8,490.8,490.8,0
2020-08-26 09:06:00,491.0,491.0,491.0,491.0,0
2020-08-26 09:18:00,491.99,491.99,491.99,491.99,0
2020-08-26 09:19:00,491.64,491.64,491.64,491.64,0
2020-08-26 09:24:00,491.64,491.64,491.64,491.64,0
2020-08-26 09:28:00,492.5,491.99,492.0,492.5,0
2020-08-26 09:30:00,495.08,492.08,492.5,494.52,148933
2020-08-26 09:31:00,495.74,494.21,494.41,495.74,46651
2020-08-26 09:32:00,496.59,495.38,495.69,496.5,41689
2020-08-26 09:33:00,496.73,495.0,496.64,495.98,45552
2020-08-26 09:34:00,498.13,495.9,496.05,498.13,68189
2020-08-26 09:35:00,499.18,497.79,498.12,498.74,100170
2020-08-26 09:36:00,499.38,498.57,498.92,498.9,40446
2020-08-26 09:37:00,499.13,498.06,498.9,498.07,34405
2020-08-26 09:38:00,498.81,497.53,498.23,498.11,36207
2020-08-26 09:39:00,499.0,498.21,498.5,498.92,41867
2020-08-26 09:40:00,499.87,498.22,498.79,499.56,49035
2020-08-26 09:41:00,504.15,499.51,499.57,503.81,159635
2020-08-26 09:42:00,505.25,503.0,503.96,504.86,111124
2020-08-26 09:43:00,505.3,504.01,504.87,504.3,82781
2020-08-26 09:44:00,506.49,504.34,504.42,506.35,98788
2020-08-26 09:45:00,507.29,506.0,506.42,506.69,82982
2020-08-26 09:46:00,507.73,506.64,506.64,507.63,60332
2020-08-26 09:47:00,508.16,506.92,507.6,507.46,60672
2020-08-26 09:48:00,508.08,507.26,507.67,507.66,38323
2020-08-26 09:49:00,508.65,507.4,507.61,508.57,47549
2020-08-26 09:50:00,508.91,507.42,508.43,508.74,94921
2020-08-26 09:51:00,509.82,508.69,508.69,509.36,114291
2020-08-26 09:52:00,509.38,507.17,509.38,507.24,69361
2020-08-26 09:53:00,507.5,505.59,507.23,506.31,87942
2020-08-26 09:54:00,508.0,506.25,506.33,507.77,54501
2020-08-26 09:55:00,508.15,506.77,507.72,508.15,27816
2020-08-26 09:56:00,509.05,507.82,507.82,508.97,30000
2020-08-26 09:57:00,510.0,508.92,509.0,510.0,121461
2020-08-26 09:58:00,511.74,509.98,509.99,511.08,95484
2020-08-26 09:59:00,511.08,509.86,510.93,510.05,43233
2020-08-26 10:00:00,511.0,509.75,509.89,510.61,51915
2020-08-26 10:01:00,510.72,509.81,510.42,510.5,49322
2020-08-26 10:02:00,511.0,510.0,510.36,510.24,45174
2020-08-26 10:03:00,511.46,510.26,510.26,510.27,46534
2020-08-26 10:04:00,511.21,510.06,510.4,510.68,28461
2020-08-26 10:05:00,511.07,510.29,510.58,510.47,29063
2020-08-26 10:06:00,511.25,510.51,510.61,511.06,29198
2020-08-26 10:07:00,511.56,510.75,510.93,511.39,58978
2020-08-26 10:08:00,511.56,510.6,511.52,511.29,54692
2020-08-26 10:09:00,511.88,511.03,511.11,511.79,37436
2020-08-26 10:10:00,512.94,511.69,511.75,511.99,95985
2020-08-26 10:11:00,512.05,511.0,511.91,511.36,37384
2020-08-26 10:12:00,511.58,510.58,511.3,510.86,29691
2020-08-26 10:13:00,510.93,509.78,510.92,510.01,40075
2020-08-26 10:14:00,510.15,509.59,510.03,509.7,36546
2020-08-26 10:15:00,510.5,509.63,509.64,510.14,40048
2020-08-26 10:16:00,510.59,509.89,510.12,510.18,29939
2020-08-26 10:17:00,511.11,510.32,510.32,510.77,30619
2020-08-26 10:18:00,511.12,510.59,510.75,511.07,22885
2020-08-26 10:19:00,512.12,511.12,511.12,512.12,30325
2020-08-26 10:20:00,513.43,511.97,512.04,513.43,40235
2020-08-26 10:21:00,513.83,513.17,513.49,513.59,47226
2020-08-26 10:22:00,514.41,513.4,513.58,514.24,34591
2020-08-26 10:23:00,514.58,514.18,514.27,514.28,36408
2020-08-26 10:24:00,514.25,513.71,514.23,513.71,43217
2020-08-26 10:25:00,514.03,513.41,513.57,513.69,32161
