Date,High,Low,Open,Close,Volume
2020-08-26 04:00:00,217.47,217.0,217.47,217.0,0
2020-08-26 04:01:00,217.31,217.31,217.31,217.31,0
2020-08-26 04:02:00,217.35,217.34,217.34,217.35,0
2020-08-26 04:03:00,217.38,217.38,217.38,217.38,0
2020-08-26 04:08:00,217.0,217.0,217.0,217.0,0
2020-08-26 04:15:00,217.0,217.0,217.0,217.0,0
2020-08-26 04:19:00,217.0,217.0,217.0,217.0,0
2020-08-26 04:20:00,217.35,217.23,217.23,217.35,0
2020-08-26 04:21:00,217.42,217.42,217.42,217.42,0
2020-08-26 04:39:00,217.06,217.06,217.06,217.06,0
2020-08-26 04:58:00,217.15,217.04,217.04,217.15,0
2020-08-26 05:00:00,217.16,217.15,217.15,217.16,0
2020-08-26 05:06:00,217.17,217.15,217.17,217.15,0
2020-08-26 05:24:00,217.19,217.19,217.19,217.19,0
2020-08-26 05:25:00,217.17,217.15,217.17,217.15,0
2020-08-26 05:31:00,217.31,217.31,217.31,217.31,0
2020-08-26 05:47:00,217.15,217.13,217.15,217.13,0
2020-08-26 05:48:00,217.16,217.16,217.16,217.16,0
2020-08-26 05:50:00,217.15,217.15,217.15,217.15,0
2020-08-26 06:05:00,217.15,217.15,217.15,217.15,0
2020-08-26 06:06:00,217.4,217.38,217.38,217.4,0
2020-08-26 06:07:00,217.4,217.4,217.4,217.4,0
2020-08-26 06:23:00,217.36,217.36,217.36,217.36,0
2020-08-26 06:30:00,217.28,217.27,217.27,217.28,0
2020-08-26 06:31:00,217.28,217.28,217.28,217.28,0
2020-08-26 06:42:00,217.29,217.28,217.29,217.29,0
2020-08-26 06:44:00,217.42,217.41,217.41,217.42,0
2020-08-26 06:49:00,217.37,217.37,217.37,217.37,0
2020-08-26 06:52:00,217.21,217.21,217.21,217.21,0
2020-08-26 07:00:00,217.49,217.47,217.47,217.47,0
2020-08-26 07:01:00,217.4,217.4,217.4,217.4,0
2020-08-26 07:02:00,217.6,217.5,217.5,217.51,0
2020-08-26 07:03:00,217.67,217.65,217.65,217.67,0
2020-08-26 07:04:00,218.0,217.95,217.95,218.0,0
2020-08-26 07:05:00,217.99,217.81,217.99,217.81,0
2020-08-26 07:07:00,217.81,217.81,217.81,217.81,0
2020-08-26 07:08:00,218.2,217.96,217.96,218.14,0
2020-08-26 07:09:00,218.18,218.0,218.03,218.18,0
2020-08-26 07:10:00,218.15,218.01,218.15,218.01,0
2020-08-26 07:12:00,217.99,217.96,217.96,217.99,0
2020-08-26 07:13:00,218.2,218.02,218.15,218.02,0
2020-08-26 07:14:00,217.97,217.93,217.97,217.93,0
2020-08-26 07:15:00,217.92,217.92,217.92,217.92,0
2020-08-26 07:17:00,218.0,217.98,217.98,218.0,0
2020-08-26 07:18:00,218.09,218.01,218.01,218.09,0
2020-08-26 07:19:00,218.02,218.01,218.01,218.02,0
2020-08-26 07:20:00,218.1,218.07,218.07,218.1,0
2020-08-26 07:23:00,218.24,218.24,218.24,218.24,0
2020-08-26 07:24:00,218.25,218.24,218.24,218.25,0
2020-08-26 07:25:00,218.3,218.3,218.3,218.3,0
2020-08-26 07:26:00,218.3,218.3,218.3,218.3,0
2020-08-26 07:28:00,218.43,218.4,218.4,218.43,0
2020-08-26 07:29:00,218.42,218.25,218.42,218.25,0
2020-08-26 07:30:00,218.25,218.19,218.25,218.2,0
2020-08-26 07:31:00,218.21,218.21,218.21,218.21,0
2020-08-26 07:34:00,218.3,218.3,218.3,218.3,0
2020-08-26 07:35:00,218.39,218.38,218.38,218.39,0
2020-08-26 07:41:00,218.31,218.3,218.3,218.31,0
2020-08-26 07:43:00,218.3,218.3,218.3,218.3,0
2020-08-26 07:44:00,218.3,218.3,218.3,218.3,0
2020-08-26 07:45:00,218.23,218.18,218.23,218.18,0
2020-08-26 07:46:00,218.18,218.18,218.18,218.18,0
2020-08-26 07:47:00,218.0,218.0,218.0,218.0,0
2020-08-26 07:48:00,218.1,218.0,218.1,218.1,0
